iter	Passed	Remaining
1169	5454	41164
1170	5459	41159
1171	5463	41153
1172	5467	41146
1173	5473	41147
1174	5478	41143
1175	5482	41134
1176	5486	41131
1177	5491	41122
1178	5495	41114
1179	5500	41112
1180	5505	41112
1181	5510	41106
1182	5514	41102
1183	5519	41100
1184	5524	41093
1185	5528	41088
1186	5533	41085
1187	5538	41080
1188	5542	41075
1189	5547	41071
1190	5552	41066
1191	5557	41063
1192	5562	41061
1193	5566	41057
1194	5571	41051
1195	5576	41048
1196	5581	41046
1197	5585	41040
1198	5590	41036
1199	5595	41031
1200	5599	41026
1201	5604	41021
1202	5609	41022
1203	5614	41018
1204	5619	41013
1205	5623	41009
1206	5628	41006
1207	5633	41000
1208	5637	40995
1209	5642	40988
1210	5646	40983
1211	5652	40984
1212	5657	40980
1213	5661	40972
1214	5666	40973
1215	5671	40971
1216	5677	40971
1217	5681	40965
1218	5686	40964
1219	5692	40965
1220	5698	40970
1221	5704	40975
1222	5709	40975
1223	5716	40983
1224	5721	40987
1225	5727	40991
1226	5733	40996
1227	5739	41000
1228	5745	41004
1229	5751	41007
1230	5757	41009
1231	5762	41008
1232	5767	41005
1233	5771	40997
1234	5776	40998
1235	5781	40995
1236	5786	40991
1237	5790	40983
1238	5795	40979
1239	5799	40973
1240	5804	40968
1241	5809	40965
1242	5814	40963
1243	5818	40956
1244	5824	40955
1245	5828	40951
1246	5832	40941
1247	5837	40936
1248	5842	40931
1249	5846	40925
1250	5851	40920
1251	5855	40915
1252	5860	40907
1253	5865	40906
1254	5870	40904
1255	5875	40904
1256	5880	40899
1257	5884	40893
1258	5889	40886
1259	5893	40878
1260	5898	40875
1261	5902	40871
1262	5907	40866
1263	5912	40864
1264	5917	40859
1265	5921	40852
1266	5926	40847
1267	5931	40844
1268	5935	40835
1269	5939	40829
1270	5944	40823
1271	5948	40819
1272	5953	40814
1273	5957	40806
1274	5962	40798
1275	5966	40794
1276	5971	40789
1277	5975	40781
1278	5979	40774
1279	5983	40764
1280	5988	40756
1281	5992	40750
1282	5997	40748
1283	6002	40744
1284	6006	40734
1285	6010	40729
1286	6015	40722
1287	6019	40714
1288	6023	40705
1289	6027	40698
1290	6031	40690
1291	6035	40681
1292	6039	40671
1293	6043	40663
1294	6048	40656
1295	6051	40644
1296	6056	40637
1297	6060	40632
1298	6065	40625
1299	6069	40618
1300	6074	40614
1301	6078	40606
1302	6082	40599
1303	6086	40587
1304	6090	40579
1305	6095	40575
1306	6099	40569
1307	6103	40562
1308	6108	40556
1309	6112	40549
1310	6117	40545
1311	6122	40541
1312	6127	40538
1313	6131	40534
1314	6136	40529
1315	6141	40524
1316	6145	40520
1317	6151	40518
1318	6155	40514
1319	6161	40513
1320	6166	40511
1321	6171	40513
1322	6177	40513
1323	6181	40508
1324	6186	40504
1325	6191	40503
1326	6196	40497
1327	6201	40499
1328	6207	40497
1329	6211	40492
1330	6216	40486
1331	6220	40482
1332	6226	40482
1333	6230	40476
1334	6235	40474
1335	6241	40474
1336	6246	40472
1337	6250	40466
1338	6255	40465
1339	6260	40458
1340	6264	40452
1341	6270	40454
1342	6275	40451
1343	6281	40455
1344	6286	40450
1345	6291	40448
1346	6296	40446
1347	6301	40442
1348	6306	40444
1349	6312	40447
1350	6317	40442
1351	6322	40442
1352	6326	40434
1353	6331	40433
1354	6336	40429
1355	6344	40442
1356	6350	40445
1357	6356	40450
1358	6362	40454
1359	6368	40458
1360	6375	40467
1361	6381	40472
1362	6387	40477
1363	6394	40484
1364	6400	40490
1365	6406	40495
1366	6411	40493
1367	6417	40494
1368	6422	40491
1369	6427	40490
1370	6432	40486
1371	6437	40481
1372	6442	40477
1373	6446	40472
1374	6451	40468
1375	6456	40464
1376	6462	40466
1377	6467	40464
1378	6472	40465
1379	6477	40460
1380	6482	40456
1381	6487	40453
1382	6491	40447
1383	6497	40448
1384	6502	40447
1385	6507	40441
1386	6511	40437
1387	6516	40433
1388	6521	40432
1389	6526	40428
1390	6531	40424
1391	6536	40421
1392	6541	40416
1393	6545	40409
1394	6550	40405
1395	6555	40402
1396	6559	40397
1397	6565	40397
1398	6571	40398
1399	6575	40392
1400	6579	40385
1401	6584	40379
1402	6588	40372
1403	6592	40362
1404	6596	40353
1405	6600	40347
1406	6605	40343
1407	6610	40336
1408	6614	40327
1409	6619	40324
1410	6623	40319
1411	6628	40313
1412	6632	40309
1413	6637	40304
1414	6641	40295
1415	6645	40288
1416	6650	40284
1417	6655	40279
1418	6660	40276
1419	6665	40271
1420	6669	40265
1421	6674	40262
1422	6678	40256
1423	6683	40249
1424	6688	40247
1425	6693	40243
1426	6697	40237
1427	6702	40234
1428	6707	40231
1429	6712	40228
1430	6717	40225
1431	6722	40224
1432	6728	40223
1433	6733	40220
1434	6738	40216
1435	6743	40214
1436	6748	40216
1437	6753	40213
1438	6758	40209
1439	6764	40213
1440	6770	40212
1441	6775	40211
1442	6780	40206
1443	6785	40202
1444	6789	40195
1445	6793	40187
1446	6797	40181
1447	6802	40174
1448	6806	40164
1449	6810	40156
1450	6814	40147
1451	6818	40140
1452	6822	40134
1453	6827	40126
1454	6831	40119
1455	6835	40111
1456	6839	40101
1457	6843	40095
1458	6847	40087
1459	6852	40082
1460	6856	40074
1461	6861	40070
1462	6866	40066
1463	6870	40062
1464	6876	40059
1465	6880	40056
1466	6886	40053
1467	6890	40046
1468	6894	40040
1469	6899	40038
1470	6904	40033
1471	6908	40024
1472	6913	40020
1473	6917	40013
1474	6922	40007
1475	6926	40000
1476	6931	39996
1477	6935	39992
1478	6940	39986
1479	6945	39981
1480	6949	39974
1481	6954	39971
1482	6959	39970
1483	6963	39963
1484	6968	39959
1485	6973	39955
1486	6978	39949
1487	6982	39945
1488	6987	39940
1489	6992	39935
1490	6996	39929
1491	7001	39925
1492	7005	39917
1493	7010	39912
1494	7015	39908
1495	7019	39902
1496	7024	39897
1497	7028	39892
1498	7033	39886
1499	7037	39879
1500	7042	39877
1501	7047	39871
1502	7051	39865
1503	7056	39860
1504	7061	39857
1505	7065	39852
1506	7070	39850
1507	7075	39844
1508	7079	39838
1509	7084	39835
1510	7089	39829
1511	7093	39822
1512	7098	39819
1513	7103	39813
1514	7107	39806
1515	7112	39801
1516	7116	39795
1517	7121	39789
1518	7125	39785
1519	7130	39780
1520	7134	39774
1521	7139	39770
1522	7145	39770
1523	7149	39763
1524	7154	39759
1525	7158	39753
1526	7163	39746
1527	7167	39740
1528	7172	39736
1529	7176	39729
1530	7181	39725
1531	7186	39721
1532	7190	39714
1533	7194	39707
1534	7199	39700
1535	7203	39693
1536	7207	39686
1537	7211	39679
1538	7216	39676
1539	7221	39670
1540	7225	39662
1541	7229	39657
1542	7234	39649
1543	7238	39642
1544	7242	39636
1545	7247	39629
1546	7251	39622
1547	7256	39617
1548	7260	39610
1549	7264	39602
1550	7268	39594
1551	7272	39587
1552	7276	39579
1553	7280	39572
1554	7285	39565
1555	7289	39558
1556	7293	39550
1557	7298	39545
1558	7302	39539
1559	7306	39529
1560	7310	39522
1561	7314	39512
1562	7318	39504
1563	7322	39496
1564	7326	39489
1565	7331	39483
1566	7335	39476
1567	7339	39468
1568	7344	39463
1569	7348	39455
